imdb_id,original_title,popularity,release_date,revenue,runtime,Genres
tt0110598,Muriel's Wedding,5.254847,29-09-1994,15119639,106,Drama
tt0110604,Mute Witness,2.466066,28-09-1995,1,95,Thriller
tt0113896,My Family,3.121288,03-05-1995,0,128,Drama
tt0110620,Nadja,7.720056,13-09-1994,0,93,Documentry
tt0107653,Naked,8.665198,14-09-1993,0,131,Family
tt0110623,Naked in New York,0.449733,10-11-1993,0,95,Adventure
tt0110632,Natural Born Killers,11.226856,25-08-1994,50282766,119,Adventure
tt0110638,Nell,5.930957,23-12-1994,106683817,112,Animation
tt0113948,Nemesis 2 - Nebula,1.466491,26-09-1995,0,83,Drama
tt0113967,New Jersey Drive,0.629955,19-04-1995,0,98,Family
tt0111686,New Nightmare,9.860522,13-10-1994,18090181,112,Family
tt0117169,New York Cop,0.004537,14-08-1993,0,93,Family
tt0113972,Nick of Time,6.848591,22-11-1995,8175346,90,Comedy
tt0113973,Nico Icon,0.133893,18-02-1995,0,70,Music
tt0110671,Nina Takes a Lover,0.769522,03-03-1995,0,100,Drama
tt0113986,Nine Months,8.482834,12-07-1995,69660733,103,Documentry
tt0113987,Nixon,5.092,22-12-1995,13681765,192,Drama
tt0110678,No Escape,9.715187,29-04-1994,15340000,118,Drama
tt0110684,Nobody's Fool,2.891269,23-12-1994,0,110,Comedy
tt0110687,North,15.534707,22-07-1994,0,87,Adventure
tt0114011,Now and Then,8.681325,20-10-1995,27400000,100,Drama
tt0114057,Othello,1.845899,15-12-1995,0,123,Adventure
tt0114069,Outbreak,13.676444,10-03-1995,189859560,127,Thriller
tt0070506,Pane e cioccolata,1.306628,05-05-1974,0,100,Drama
tt0114084,Panther,7.160149,10-11-1995,6834525,124,Music
tt0110769,Pao Da Shuang Deng,0.078257,14-10-1994,0,111,Animation
tt0107779,"Paris, France",0.741522,04-02-1994,0,112,Drama
tt0114095,Party Girl,1.165039,09-06-1995,472370,94,Music
tt0114117,Persuasion,2.228434,27-09-1995,0,104,Drama
tt0107818,Philadelphia,13.373006,22-12-1993,206678440,125,Thriller
tt0114129,Picture Bride,1.296912,05-05-1995,0,94,Drama
tt0114131,Pie in the Sky,0.699066,09-02-1996,0,95,Documentry
tt0032910,Pinocchio,14.202284,23-02-1940,84300000,88,Music
tt0114148,Pocahontas,13.280069,14-06-1995,346079773,81,Adventure
tt0107840,Poetic Justice,6.972599,23-07-1993,27515786,109,Documentry
tt0114151,Poison Ivy II: Lily,6.448039,16-01-1996,0,106,Thriller
tt0110889,Priest,1.881932,01-01-1994,4176932,98,Adventure
tt0117381,Primal Fear,10.326213,03-04-1996,102616183,129,Adventure
tt0110892,Princess Caraboo,1.943323,16-09-1994,3021629,97,Comedy
tt0110912,Pulp Fiction,140.950236,10-09-1994,213928762,154,Music
tt0105652,Pushing Hands,1.638622,01-02-1992,152322,105,Thriller
tt0110932,Quiz Show,7.772505,16-09-1994,0,133,Drama
tt0117427,Race the Sun,1.317878,22-03-1996,0,100,Family
tt0110939,Radioland Murders,8.506727,21-10-1994,0,108,Music
tt0110950,Reality Bites,6.514592,18-02-1994,20079850,99,Adventure
tt0114241,Reckless,0.119713,17-11-1995,0,91,Thriller
tt0105226,Red Rock West,5.137903,08-07-1993,2000000,98,Thriller
tt0110965,Relative Fear,0.499601,03-10-1995,0,90,Family
tt0110971,Renaissance Man,4.985157,03-06-1994,24332324,128,Adventure
tt0114268,Rent-a-Kid,1.155255,01-01-1995,0,85,Family
tt0114272,Restoration,10.979269,29-12-1995,0,117,Drama
tt0114279,Richard III,4.561387,29-12-1995,0,104,Drama
tt0107969,Rising Sun,6.279082,30-07-1993,107198790,125,Drama
tt0114287,Rob Roy,10.193549,13-04-1995,31596911,139,Drama
tt0107977,Robin Hood: Men in Tights,17.136672,28-07-1993,35739755,104,Adventure
tt0107978,RoboCop 3,8.685798,17-04-1993,10696210,104,Action
tt0107983,Romeo Is Bleeding,9.796318,13-09-1993,3275585,100,Fantasy
tt0105275,Romper Stomper,5.157926,05-03-1992,0,94,Action
tt0114296,Roommates,3.395867,01-03-1995,12400000,108,Fantasy
tt0117517,Roula - Dunkle Geheimnisse,0.149157,11-09-1995,0,97,Drama
tt0108000,Ruby in Paradise,0.941994,08-10-1993,1001437,114,Drama
tt0114305,Rude,0.065827,08-09-1995,0,89,Drama
tt0108002,Rudy,5.914833,17-09-1993,22750363,114,Comedy
tt0111048,S.F.W.,2.504529,15-09-1994,0,96,Fantasy
tt0114319,Sabrina,6.677277,15-12-1995,0,127,Comedy
tt0114323,Safe,8.180047,23-06-1995,0,119,Adventure
tt0111054,Safe Passage,4.931565,01-12-1994,0,98,Documentry
tt0108052,Schindler's List,41.725123,29-11-1993,321365567,195,Family
tt0102855,Schrei aus Stein,0.736081,01-01-1991,0,105,Thriller
tt0114367,Screamers,12.758848,08-09-1995,5781885,108,Documentry
tt0114369,Se7en,18.45743,22-09-1995,327311859,127,Documentry
tt0108065,Searching for Bobby Fischer,12.048587,13-08-1993,7266383,110,Drama
tt0111102,Second Best,0.882596,30-09-1994,0,105,Drama
tt0113936,Senior Trip,5.05806,08-09-1995,0,91,Music
tt0114388,Sense and Sensibility,10.673167,13-12-1995,135000000,136,Adventure
tt0111127,Serial Mom,5.305311,13-04-1994,7820688,95,Adventure
tt0117608,Sgt. Bilko,5.70904,29-03-1996,0,90,Comedy
tt0108101,Shadowlands,2.96586,25-12-1993,0,131,Adventure
tt0111149,Shallow Grave,8.223026,22-12-1994,0,92,Thriller
tt0111173,Shopping,2.657647,06-12-1994,0,105,Drama
tt0108122,Short Cuts,8.829337,05-09-1993,6110979,187,Thriller
tt0114436,Showgirls,17.502375,22-09-1995,20350754,128,Action
tt0111201,Sirens,2.86213,01-10-1993,7770731,98,Documentry
tt0108149,Six Degrees of Separation,8.730025,08-12-1993,0,112,Adventure
tt0108160,Sleepless in Seattle,10.234919,24-06-1993,227799884,105,Documentry
